title,condition_0_conditionDisplayName,discountPriceInfo_0_originalRetailPrice_0___value__,isMultiVariationListing,listingInfo_0_watchCount,primaryCategory_0_categoryName,returnsAccepted,sellingStatus_0_convertedCurrentPrice_0___value__,shippingInfo_0_handlingTime,shippingInfo_0_oneDayShippingAvailable,shippingInfo_0_shippingServiceCost_0___value__,topRatedListing,Discount_amount,DiscountPercentage
"['Acer CB514 14"" Laptop Touch 8GB 512GB Intel i3-N305 1.8GHz Certified Refurbished']",['Certified - Refurbished'],399.99,['false'],['341'],['PC Laptops & Netbooks'],['true'],181.99,['3'],['false'],0.0,['false'],218.0,54.50136253406335
"['HP EliteBook 820 G4 Laptop Computer 12.5"" Core i5 8GB RAM 128GB SSD Windows 10']",['Very Good - Refurbished'],795.0,['false'],['7982'],['PC Laptops & Netbooks'],['true'],128.14,['2'],['false'],0.0,['false'],666.86,83.88176100628931
"['Acer Chromebook 315 Laptop 15.6"" 4GB 64GB Intel N4500 1.10GHz - Good Condition']",['Good - Refurbished'],199.0,['false'],['86'],['PC Laptops & Netbooks'],['true'],76.89,['3'],['false'],0.0,['false'],122.11,61.36180904522613
['SGIN 15.6 Inch Laptop 8GB DDR4 256GB SSD Windows 11 Quad-Core IPS FHD Computer'],['New'],189.0,['false'],['301'],['PC Laptops & Netbooks'],['true'],189.0,['1'],['false'],0.0,['false'],0.0,0.0
"['2024 Lenovo IdeaPad Laptop Notebook 15.6""  Intel Processor Upto 20GB RAM 1TB SSD']",['New'],229.0,['true'],['41'],['PC Laptops & Netbooks'],['true'],229.0,['1'],['false'],0.0,['true'],0.0,0.0
['Dell Latitude 5420 Laptop 14 FHD Intel Core i5 1145G7 32GB 512GB SSD Win 11 Pro'],['Excellent - Refurbished'],799.0,['false'],['42'],['PC Laptops & Netbooks'],['true'],279.99,['0'],['false'],0.0,['true'],519.01,64.95744680851064
"['Samsung - Galaxy Book4 15.6"" FHD Laptop - Intel Core 7- 16GB Memory - 512GB S...']",['New'],899.99,['false'],['458'],['PC Laptops & Netbooks'],['true'],529.99,['2'],['true'],0.0,['false'],370.0,41.11156790631007
"['~OVERSTOCK~ 15.6"" HP ProBook Laptop: Intel i3! 16GB RAM~1TB Storage! Windows 10!']",['Good - Refurbished'],149.99,['false'],['49'],['PC Laptops & Netbooks'],['true'],149.99,['0'],['false'],0.0,['true'],0.0,0.0
"['TouchScreen Acer Chromebook C738T 360 hinge 11.6"" Intel 1.6GHZ 4GB 16GB - Good']",['Good - Refurbished'],399.99,['false'],['8531'],['PC Laptops & Netbooks'],['true'],54.99,['0'],['false'],0.0,['true'],345.0,86.2521563039076
['Dell Latitude 5411 14” FHD Laptop Core i5 4.6GHz 16GB RAM 512GB SSD Windows 11'],['Excellent - Refurbished'],250.84,['false'],['157'],['PC Laptops & Netbooks'],['true'],250.84,['2'],['false'],0.0,['false'],0.0,0.0
"['Acer 315 Chromebook 15.6"" 64GB Intel Celeron N4500 1.1GHz Certified Refurbished']",['Certified - Refurbished'],279.99,['false'],['1021'],['PC Laptops & Netbooks'],['true'],99.99,['3'],['false'],0.0,['false'],180.0,64.28801028608164
['Dell Chromebook Laptop Intel 2.6 GHz CPU 4GB Memory 32GB HD Bluetooth Wifi 2021'],['Good - Refurbished'],79.99,['true'],['797'],['PC Laptops & Netbooks'],['true'],79.99,['1'],['false'],0.0,['true'],0.0,0.0
['ASUS - Zenbook 14 OLED 14WUXGA Touch Screen Laptop - Intel Core Ultra 5 wit...'],['New'],799.99,['false'],['355'],['PC Laptops & Netbooks'],['true'],499.99,['2'],['true'],0.0,['false'],300.0,37.500468755859444
['Dell Latitude 3410 14” Full HD Laptop PC Core i5 16GB RAM 512GB SSD Windows 11'],['Excellent - Refurbished'],249.2,['false'],['475'],['PC Laptops & Netbooks'],['true'],249.2,['2'],['false'],0.0,['false'],0.0,0.0
"['Lenovo IdeaPad Slim 5 Laptop, 16"" IPS  60Hz, Ryzen 5 8645HS, 16GB, 512GB SSD']",['New'],839.99,['false'],['196'],['PC Laptops & Netbooks'],['true'],599.99,['2'],['false'],0.0,['false'],240.0,28.57176871153228
"['Acer Aspire 3 Laptop 15.6"" 1TB AMD Ryzen 5 7520U 2.8GHz Certified Reburbished']",['Certified - Refurbished'],499.99,['false'],['573'],['PC Laptops & Netbooks'],['true'],300.29,['3'],['false'],0.0,['false'],199.7,39.940798815976315
"['Lenovo - LOQ 15.6"" Gaming Laptop FHD - AMD Ryzen 5 7235HS with 12GB Memory - ...']",['New'],799.99,['false'],['361'],['PC Laptops & Netbooks'],['true'],799.99,['2'],['true'],0.0,['false'],0.0,0.0
"['HP - 15.6"" Chromebook Laptop - Intel Processor N200 - 8GB Memory - 64GB eMMC ...']",['New'],399.0,['false'],['145'],['PC Laptops & Netbooks'],['true'],179.0,['2'],['true'],0.0,['false'],220.0,55.13784461152882
['HP EliteBook X360 1040 G6 Laptop 14” Touch Core i5 16GB RAM 256GB SSD Windows 11'],['Excellent - Refurbished'],238.41,['false'],['633'],['PC Laptops & Netbooks'],['true'],238.41,['2'],['false'],0.0,['false'],0.0,0.0
"['Dell - Inspiron 15 15.6"" Touch Screen Laptop - Intel Core i5 with 8GB Memory ...']",['New'],629.99,['false'],['403'],['PC Laptops & Netbooks'],['true'],429.99,['2'],['true'],0.0,['false'],200.0,31.74653565929618
"['MSI - Cyborg 14"" 144Hz Gaming Laptop (FHD+) - Intel Core i7-13620H with 16GB ...']",['New'],1099.99,['false'],['233'],['PC Laptops & Netbooks'],['true'],749.99,['2'],['true'],0.0,['false'],350.0,31.81847107700979
"[""CHUWI 13.3'' Laptop Computer PC Windows 11 Home PC 2.7GHz 8GB 256GB HD WIFI""]",['New'],134.39,['false'],['929'],['PC Laptops & Netbooks'],['true'],134.39,['0'],['false'],0.0,['false'],0.0,0.0
"['HP 840 G3 14"" Laptop Intel i5-6300U 2.40GHz 16GB Ram 256GB SSD Intel HD 520 W10P']",['Excellent - Refurbished'],299.99,['false'],['533'],['PC Laptops & Netbooks'],['true'],149.99,['1'],['false'],0.0,['true'],150.0,50.00166672222407
